,task,num_simulations,num_observation,algorithm,seed,C2ST,C2ST_Z,MMD,MMD_Z,MEDDIST,C2ST_1K,C2ST_1K_Z,MMD_1K,MMD_1K_Z,MEDDIST_1K,NLTP,RT,KSD,KSD_1K,num_simulations_simulator,path,folder
490,gaussian_linear,10000,4,REJ-ABC,1233291606,0.89965,0.8889,0.12292975,0.12237364,1.9849612,0.856,0.866,0.12277311,0.121533215,1.9812584,,0.005807924270629883,12.887100178970941,10.5946463325373,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/10,10
491,gaussian_linear,1000,9,REJ-ABC,559997733,0.891,0.8855,0.09370142,0.093657196,1.7336377,0.837,0.848,0.099134564,0.09880555,1.7626826,,0.004901019732157389,12.57727006597754,10.323031914496998,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/24,24
492,gaussian_linear,1000,5,REJ-ABC,1599787576,0.8798,0.87325,0.071119666,0.07120806,1.600415,0.8485,0.8525,0.072960675,0.0731498,1.588544,,0.004705985387166341,12.135045116244472,9.852737794616392,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/12,12
493,gaussian_linear,1000,8,REJ-ABC,2866809311,0.9401,0.93305,0.18420792,0.18494755,2.088457,0.9145,0.9145,0.18296325,0.19137573,2.0881572,,0.004453512032826742,13.316844967075212,11.0116815232567,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/21,21
494,gaussian_linear,100000,1,REJ-ABC,2249082284,0.8086,0.78725,0.042700768,0.042830348,1.6772299,0.751,0.76,0.041844964,0.042426586,1.6782072,,0.12401046752929687,11.77988887559428,9.471206514819654,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/2,2
495,gaussian_linear,10000,9,REJ-ABC,1400554424,0.86655,0.85695,0.07437378,0.074344635,1.6955175,0.8255,0.818,0.07337618,0.07287234,1.6801488,,0.004485785961151123,12.377152879749639,10.060285297222418,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/25,25
496,gaussian_linear,100000,2,REJ-ABC,3144020478,0.80395,0.7852,0.038237333,0.038279653,1.6078035,0.764,0.7615,0.040231347,0.040544152,1.5917008,,0.12748490969340007,11.637168920435434,9.363145146479075,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/5,5
497,gaussian_linear,10000,3,REJ-ABC,219331565,0.8672,0.85205,0.07109916,0.07088721,1.7108219,0.8225,0.83,0.07496071,0.07489121,1.7218987,,0.12085774739583334,12.203336806533207,10.021424487460523,10000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/7,7
498,gaussian_linear,1000,1,REJ-ABC,4029984920,0.91595,0.91125,0.13299346,0.13321352,1.8747797,0.8905,0.9,0.13122839,0.13174152,1.8691959,,0.11745672225952149,13.012144635207255,10.68740425606698,1000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/0,0
499,gaussian_linear,100000,3,REJ-ABC,426576116,0.80105,0.78525,0.03232622,0.03225708,1.6030697,0.7285,0.743,0.029496789,0.029713154,1.5827008,,0.11325211524963379,11.355285145092186,8.999396599806245,100000.0,/home/aaiuser/results/benchmarking_sbi_023/multirun/2024-12-08/07-34-23/8,8
