task,num_simulations,num_observation,algorithm,C2ST,MMD,MEDDIST,NLTP,RT,KSD,folder
gaussian_mixture,10⁵,4,NRE-MLP,0.71675,0.035490274,1.1081407,,135.19139811197917,8.431180428372956,b5add555-9646-47b9-9653-f5a656340f96
lotka_volterra,10⁵,4,NRE-RES,0.9999,0.5691843000000001,885.9321,,97.64645182291666,26.12468125170187,49d311d8-2703-4a7a-9dbd-4150a1a2d134
lotka_volterra,10⁴,6,SNRE-RES,0.9685,0.5510286,25.18203,,11.484037272135415,20.169837815237727,b552f1b2-e285-44cb-969f-c83a8925aec8
sir,10⁴,2,NRE-MLP,0.938,0.51549554,50.457905,,3.608666229248047,16.197456864929304,3efbcfcf-5360-44fc-b963-e98cea760359
gaussian_linear,10⁴,8,SNRE-RES,0.54315,0.003917217299999999,1.5223671,,14.287660725911458,9.663172282548599,d7275204-5bdc-4f16-93d6-c3873953ca36
lotka_volterra,10⁵,10,NRE-MLP,0.99795,0.5326561,101.93054,,183.7002115885417,22.6580827688742,9ae6efaf-1358-4e58-8b8b-d321929f1053
bernoulli_glm_raw,10³,10,SNRE-MLP,0.83775,0.13233566,5.656854,,13.18385213216146,11.770153175286387,ef8740d4-e9bc-4e80-8722-64e29c2b1adf
sir,10⁴,6,SNRE-RES,0.5760000000000001,0.009108543,22.869194,,7.4691507975260425,15.215347675580974,ca0ec2e9-b0b0-4b48-87e4-b8bba0c198a7
lotka_volterra,10⁵,2,SNRE-MLP,0.8064,0.14111084,15.930309,,,18.95980707792302,c87888ea-d10b-4a91-9bcf-be7222f7b926
gaussian_mixture,10⁴,5,SNRE-RES,0.6111,0.015313625,0.5647966,,5.948786926269531,10.117944121036867,0c665b41-fe4e-4da2-aa4f-c850094aa4c8
sir,10⁴,2,SNRE-RES,0.5611,0.012997627,20.832666,,6.964658610026041,13.188494504671244,f4c8f8a4-a2a0-4b58-a284-32a2f48fbccf
gaussian_linear_uniform,10³,9,NRE-RES,0.831,0.11699128,1.7180694,,5.204111735026042,5.352088154412587,1548148d-f138-46ca-b767-54406b152d67
gaussian_linear_uniform,10³,1,SNRE-RES,0.65775,0.015965462,1.4008815,,12.855925496419273,6.182439967641982,745de8c1-f86c-442d-8dca-265e7ba04a6e
sir,10⁴,8,NRE-RES,0.7636,0.08322722,30.454884000000003,,3.449933115641276,17.880658688947193,29b723fb-3d14-4d6b-90d7-81be606de9ac
lotka_volterra,10⁵,6,NRE-MLP,0.99915,0.5412529,72.25686999999998,,176.39396158854163,21.065203397155745,5f600061-76cd-46ce-8ada-7332fa232f44
gaussian_mixture,10⁵,3,NRE-RES,0.7192,0.02769059,1.1155305,,50.34586588541666,8.860889414955642,c6a5994b-1480-4bbe-bf1e-2557347706ea
